########## FILE: 附件1 ##########
==== SHEET: Case1 (dims A1:D53) ====
Point_ID | X_Coordinate | Y_Coordinate | Inspection_Level
30 | 31.6366 | 431.221 | II
31 | 776.763 | 253.781 | III
32 | 531.819 | 906.89 | II
33 | 654.965 | 767.759 | III
34 | 186.06 | 206.527 | III
35 | 564.595 | 2.99685 | II
36 | 410.816 | 437.921 | I
37 | 930.189 | 639.817 | III
38 | 941.392 | 889.979 | III
39 | 341.538 | 39.4141 | III
40 | 162.622 | 95.1969 | III
41 | 107.558 | 262.746 | II
42 | 82.6398 | 131.129 | II
43 | 43.0137 | 77.901 | I
44 | 554.45 | 99.7819 | III
45 | 608.618 | 227.863 | III
46 | 889.589 | 760.96 | I
47 | 559.461 | 508.125 | II
48 | 13.6027 | 508.467 | III
49 | 402.567 | 839.178 | I
50 | 886.156 | 764.31 | III
51 | 84.6462 | 629.068 | III
52 | 486.783 | 259.062 | I
53 | 647.516 | 553.517 | II
54 | 967.65 | 824.246 | I
55 | 236.623 | 1.52397 | III
56 | 879.518 | 737.584 | III
57 | 509.84 | 420.787 | II
58 | 936.134 | 303.893 | III
59 | 872.343 | 499.018 | III
60 | 142.996 | 840.984 | III
61 | 233.102 | 303.929 | III
62 | 199.819 | 937.721 | III
63 | 302.123 | 847.44 | III
64 | 365.531 | 566.229 | II
65 | 107.593 | 549.471 | III
66 | 802.657 | 344.868 | III
67 | 319.486 | 813.104 | III
68 | 3.24542 | 701.539 | I
69 | 180.027 | 766.307 | III
70 | 977.601 | 968.843 | II
71 | 14.6301 | 842.383 | III
72 | 922.626 | 954.285 | III
73 | 896.272 | 789.067 | III
74 | 667.952 | 906.108 | III
75 | 425.058 | 869.541 | II
76 | 865.918 | 369.61 | III
77 | 898.572 | 539.108 | III
78 | 621.689 | 878.159 | III
79 | 673.73 | 613.117 | III
80 | 89.2979 | 491.923 | III
81 | 147.858 | 459.84 | I
82 | 428.293 | 905.37 | II
83 | 51.7499 | 636.336 | III
84 | 826.458 | 231.701 | III
85 | 426.249 | 946.357 | III
86 | 316.069 | 853.389 | I
87 | 275.713 | 973.754 | III
88 | 835.293 | 247.974 | III
89 | 970.187 | 63.5213 | III
90 | 123.616 | 644.17 | III
91 | 226.668 | 562.456 | III
92 | 808.92 | 791.39 | III
93 | 942.256 | 531.023 | III
94 | 705.831 | 455.757 | III
95 | 856.231 | 509.763 | III
96 | 352.477 | 1.16433 | III
97 | 308.882 | 842.792 | III
98 | 750.979 | 394.934 | I
99 | 610.775 | 584.408 | III
100 | 483.637 | 116.325 | III
==== SHEET: Case4 (dims A1:D131) ====
Point_ID | X_Coordinate | Y_Coordinate | Inspection_Level
1 | 334.5909245845 | 161.7809319139 | II
2 | 397.6446634067 | 262.8165330708 | III
3 | 503.8741827107 | 172.8741151168 | III
4 | 444.0479403502 | 384.6491809647 | III
5 | 311.6137146746 | 2.0091699828 | II
6 | 662.8551011379 | 549.2301263653 | III
7 | 40.0979030612 | 187.2375430791 | III
8 | 526.8941409181 | 215.7079092185 | III
9 | 209.1887938487 | 691.0262291948 | III
10 | 683.2674131973 | 414.2096286906 | III
11 | 280.7494438748 | 5.9206392047 | III
12 | 252.749309008 | 535.7430385019 | II
13 | 698.7850451923 | 348.4413729766 | III
14 | 678.7574678104 | 410.7256424438 | III
15 | 220.0041131179 | 409.1225812873 | I
16 | 355.1528556851 | 76.3912076444 | II
17 | 296.9724227786 | 313.1312792361 | III
18 | 504.5154071733 | 240.8866564499 | III
19 | 224.1079496785 | 358.4872228907 | III
20 | 470.6801296968 | 309.6259188406 | III
21 | 554.2530513223 | 279.4242466521 | III
22 | 567.6332684419 | 352.7162027273 | III
23 | 599.0532671093 | 361.0948690386 | III
24 | 240.5232959211 | 430.6036007844 | II
25 | 32.0825972787 | 345.8551009775 | III
26 | 91.0538736891 | 148.7213270256 | II
27 | 248.2179894723 | 343.9528017384 | III
28 | 488.8909044347 | 3.6122311393 | I
29 | 206.046793982 | 437.7639406167 | III
30 | 575.8409415632 | 141.9670960195 | III
31 | 282.6089948164 | 329.4183805862 | II
32 | 27.6581484868 | 424.7684581747 | III
33 | 568.573730987 | 287.0975660546 | III
34 | 269.4638933331 | 295.9464636385 | III
35 | 417.8004856811 | 341.2596589955 | II
36 | 32.1680938737 | 448.8998721172 | III
37 | 561.4775136009 | 357.3543930067 | II
38 | 342.948216747 | 492.3321423839 | III
39 | 399.6752075383 | 156.8435035519 | I
40 | 571.7371050025 | 375.7575350833 | II
41 | 370.7559842751 | 151.9060751898 | III
42 | 509.7093253204 | 435.7975189314 | III
43 | 177.020699975 | 295.6044772584 | III
44 | 526.1674198605 | 409.4859418161 | III
45 | 316.5725171854 | 65.6400108214 | III
46 | 469.2908100279 | 281.9891445025 | II
47 | 572.7630641427 | 373.3208821255 | III
48 | 29.5176994283 | 330.0382309 | III
49 | 454.0082936692 | 537.2178547659 | I
50 | 416.1546762271 | 227.6133100741 | III
51 | 535.2514330806 | 471.0648643744 | III
52 | 265.4455533675 | 684.9987192464 | III
53 | 478.0542110167 | 509.6452028741 | III
54 | 370.4781203413 | 332.5390063041 | I
55 | 598.3479202004 | 446.8693279856 | III
56 | 201.1521139175 | 649.0260268945 | III
57 | 193.6925360026 | 680.2322840744 | III
58 | 448.5792598859 | 532.793405974 | III
59 | 603.2853485624 | 134.4006473609 | II
60 | 543.0102490781 | 481.5168231148 | III
61 | 214.5750793346 | 43.6460117543 | III
62 | 426.3501451825 | 61.7285415996 | II
63 | 89.0447037063 | 277.1158385868 | III
64 | 84.4920100219 | 31.8474816424 | I
65 | 220.0468614154 | 623.077810308 | II
66 | 688.4613313444 | 0.4702312726 | III
67 | 687.285753163 | 373.534623613 | II
68 | 75.4934933967 | 312.9175377486 | II
69 | 63.4170993511 | 23.7039309674 | III
70 | 97.9363495877 | 211.0910930878 | III
71 | 399.525588497 | 170.8221968365 | III
72 | 456.3167017346 | 597.1937161677 | II
73 | 319.8855102422 | 626.8396604886 | I
74 | 295.9250894897 | 664.6291554845 | III
75 | 288.4868857235 | 667.7284070537 | III
76 | 268.3951858954 | 52.9010181645 | III
77 | 140.4709056068 | 513.556672096 | III
78 | 689.8079027159 | 167.5947003748 | III
79 | 280.5784506848 | 458.7533546925 | III
80 | 453.3884433554 | 282.9082328989 | III
81 | 213.5704943432 | 525.8681817779 | III
82 | 133.695300452 | 677.1757808026 | III
83 | 521.1658690522 | 132.8617086506 | III
84 | 30.2657946347 | 450.0754502986 | III
85 | 657.0199585283 | 39.7772908299 | III
86 | 6.9252241961 | 23.8749241575 | I
87 | 252.4286967767 | 535.1659364856 | III
88 | 42.8551682504 | 63.8232081774 | II
89 | 145.8999393902 | 399.525588497 | I
90 | 638.4885715591 | 62.6262558472 | I
91 | 489.2756391122 | 665.3131282446 | III
92 | 361.2231139311 | 564.2347787901 | III
93 | 519.9475425732 | 347.971141704 | III
94 | 129.3349741063 | 435.6692740389 | III
95 | 259.7172815016 | 454.6495181318 | III
96 | 676.3421890013 | 371.0979706551 | II
97 | 84.5133841706 | 183.3260738572 | II
98 | 77.7164048671 | 354.38338633 | III
99 | 335.9802442534 | 660.6321896676 | III
100 | 264.355471781 | 377.5743377274 | I
101 | 51.6826916855 | 676.0429509187 | II
102 | 692.13768493 | 543.8010925819 | III
103 | 169.21913568 | 547.8194325476 | III
104 | 194.0131482339 | 263.4791316822 | III
105 | 415.1928395332 | 78.9133571973 | III
106 | 415.0432204919 | 479.0801701569 | III
107 | 169.8389859939 | 245.6103433244 | III
108 | 525.0987124228 | 213.5063718969 | III
109 | 238.6851191283 | 33.4932910965 | III
110 | 116.2112467718 | 363.574270294 | II
111 | 16.9283258126 | 656.5711014044 | III
112 | 434.3440768162 | 92.6996831431 | I
113 | 40.5253860363 | 424.6829615797 | III
114 | 530.4849979086 | 183.8390534273 | III
115 | 484.359584899 | 49.2460387276 | III
116 | 263.6501248722 | 426.5852608187 | II
117 | 450.2891917862 | 126.3853415784 | III
118 | 441.7822805823 | 299.7724362653 | III
119 | 24.2169105375 | 500.3474481664 | III
120 | 503.7886861157 | 514.6895019799 | III
121 | 635.5389390312 | 200.9811207275 | III
122 | 614.5922732529 | 418.8691931188 | II
123 | 21.7161351334 | 660.9741760476 | III
124 | 143.8266469611 | 92.6996831431 | I
125 | 637.719102204 | 54.2048412384 | III
126 | 566.5645610042 | 199.9551615873 | II
127 | 196.684916828 | 221.8209157619 | III
128 | 384.9270448985 | 87.4630166986 | III
129 | 178.1107815614 | 104.6905805938 | II
130 | 403.2874386776 | 205.8971749407 | III
